# Song Name;Song Lyric; Season; Episode
########################### Season 1 ###########################
Laughter Song;When I was a little filly and the sun was going down...;S1;E2
Laughter Song;The darkness and the shadows, they would always make me frown...;S1;E2
Laughter Song;I'd hide under my pillow;S1;E2
Laughter Song;From what I thought I saw;S1;E2
Laughter Song;But Granny Pie said that wasn't the way;S1;E2
Laughter Song;To deal with fears at all;S1;E2
Laughter Song;She said, "Pinkie, you gotta stand up tall;S1;E2
Laughter Song;Learn to face your fears;S1;E2
Laughter Song;You'll see that they can't hurt you;S1;E2
Laughter Song;Just laugh to make them disappear.";S1;E2
Laughter Song;Ha! Ha! Ha!;S1;E2
Laughter Song;So, giggle at the ghostly;S1;E2
Laughter Song;Guffaw at the grossly;S1;E2
Laughter Song;Crack up at the creepy;S1;E2
Laughter Song;Whoop it up with the weepy;S1;E2
Laughter Song;Chortle at the kooky;S1;E2
Laughter Song;Snortle at the spooky;S1;E2
Laughter Song;And tell that big dumb scary face to take a hike and leave you alone and if he thinks he can scare you then he's got another thing coming and the very idea of such a thing just makes you wanna... hahahaha... heh...;S1;E2
Laughter Song;Laaaaaaaaaaaaaaaaaaaaaaaaaaaaaaauuuugh!;S1;E2
Pinkie's Gala Fantasy Song;Oh the Grand Galloping Gala is the best place for me;S1;E3
Pinkie's Gala Fantasy Song;Oh the Grand Galloping Gala is the best place for me;S1;E3
Pinkie's Gala Fantasy Song;Hip hip;S1;E3
Pinkie's Gala Fantasy Song;Hooray!;S1;E3
Pinkie's Gala Fantasy Song;It's the best place for me;S1;E3
Pinkie's Gala Fantasy Song;For Pinkie...;S1;E3
Pinkie's Gala Fantasy Song;Oh the Grand Galloping Gala is the best place for me;S1;E3
Pinkie's Gala Fantasy Song;Oh the Grand Galloping Gala is the best place for me;S1;E3
Pinkie's Gala Fantasy Song;'Cause it's the most galarrific superly-terrific gala ever;S1;E3
Pinkie's Gala Fantasy Song;In the whole galaxy;S1;E3
Pinkie's Gala Fantasy Song;Wheee!!;S1;E3
The Ticket Song;Twilight is my bestest friend;S1;E3
The Ticket Song;Whoopie, whoopie!;S1;E3
The Ticket Song;She's the cutest, smartest, all around best pony, pony!;S1;E3
The Ticket Song;I bet if I throw a super-duper fun party, party!;S1;E3
The Ticket Song;She'll give her extra ticket to the Gala to me!;S1;E3
Junior Speedsters Chant;Junior Speedsters are our lives,;S1;E5
Junior Speedsters Chant;Sky-bound soars and daring dives;S1;E5
Junior Speedsters Chant;Junior Speedsters, it's our quest,;S1;E5
Junior Speedsters Chant;To someday be the very best!;S1;E5
Hop, skip and jump;It's not very far;S1;E7
Hop, skip and jump;Just move your little rump;S1;E7
Hop, skip and jump;You can make it if you try with a hop, skip and jump;S1;E7
Hop, skip and jump;A hop, skip and jump,;S1;E7
Hop, skip and jump;Just move your little rump,;S1;E7
Hop, skip and jump;A hop, skip and jump,;S1;E7
Hop, skip and jump;A hop, skip and jump,;S1;E7
Hop, skip and jump;A hop, skip and jump,;S1;E7
Hop, skip and jump;A hop skip and jump,;S1;E7
Hop, skip and jump;A hop skip and jump!;S1;E7
Evil Enchantress song;She's an evil enchantress;S1;E9
Evil Enchantress song;She does evil dances;S1;E9
Evil Enchantress song;And if you look deep in her eyes;S1;E9
Evil Enchantress song;She'll put you in trances;S1;E9
Evil Enchantress song;Then what will she do?;S1;E9
Evil Enchantress song;She'll mix up an evil brew;S1;E9
Evil Enchantress song;Then she'll gobble you up;S1;E9
Evil Enchantress song;In a big tasty stew;S1;E9
Winter Wrap Up;Three months of winter coolness;S1;E11
Winter Wrap Up;And awesome holidays;S1;E11
Winter Wrap Up;We've kept our hoofsies warm at home;S1;E11
Winter Wrap Up;Time off from work to play;S1;E11
Winter Wrap Up;But the food we've stored is runnin' out;S1;E11
Winter Wrap Up;And we can't grow in this cold;S1;E11
Winter Wrap Up;And even though I love my boots;S1;E11
Winter Wrap Up;This fashion's getting old;S1;E11
Winter Wrap Up;The time has come to welcome spring;S1;E11
Winter Wrap Up;And all things warm and green;S1;E11
Winter Wrap Up;But it's also time to say goodbye;S1;E11
Winter Wrap Up;It's winter we must clean;S1;E11
Winter Wrap Up;How can I help? I'm new, you see;S1;E11
Winter Wrap Up;What does everypony do?;S1;E11
Winter Wrap Up;How do I fit in without magic?;S1;E11
Winter Wrap Up;I haven't got a clue!;S1;E11
Winter Wrap Up;Winter Wrap Up! Winter Wrap Up!;S1;E11
Winter Wrap Up;Let's finish our holiday cheer;S1;E11
Winter Wrap Up;Winter Wrap Up! Winter Wrap Up!;S1;E11
Winter Wrap Up;'Cause tomorrow spring–;S1;E11
Winter Wrap Up;–is here!;S1;E11
Winter Wrap Up;'Cause tomorrow spring is here!;S1;E11
Winter Wrap Up;Bringing home the southern birds;S1;E11
Winter Wrap Up;A Pegasus' job begins;S1;E11
Winter Wrap Up;And clearing all the gloomy skies;S1;E11
Winter Wrap Up;To let the sunshine in;S1;E11
Winter Wrap Up;We move the clouds;S1;E11
Winter Wrap Up;And we melt the white snow;S1;E11
Winter Wrap Up;When the sun comes up;S1;E11
Winter Wrap Up;Its warmth and beauty will glow!;S1;E11
Winter Wrap Up;Winter Wrap Up! Winter Wrap Up!;S1;E11
Winter Wrap Up;Let's finish our holiday cheer;S1;E11
Winter Wrap Up;Winter Wrap Up! Winter Wrap Up!;S1;E11
Winter Wrap Up;'Cause tomorrow spring is here;S1;E11
Winter Wrap Up;Winter Wrap Up! Winter Wrap Up!;S1;E11
Winter Wrap Up;'Cause tomorrow spring is here;S1;E11
Winter Wrap Up;'Cause tomorrow spring is here!;S1;E11
Winter Wrap Up;Little critters hibernate;S1;E11
Winter Wrap Up;Under the snow and ice;S1;E11
Winter Wrap Up;We wake up all their sleepy heads;S1;E11
Winter Wrap Up;So quietly and nice;S1;E11
Winter Wrap Up;We help them gather up their food;S1;E11
Winter Wrap Up;Fix their homes below;S1;E11
Winter Wrap Up;We welcome back the southern birds;S1;E11
Winter Wrap Up;So their families can grow!;S1;E11
Winter Wrap Up; Winter, winter);S1;E11
Winter Wrap Up;Let's finish our holiday cheer;S1;E11
Winter Wrap Up; Winter, winter);S1;E11
Winter Wrap Up;'Cause tomorrow spring is here;S1;E11
Winter Wrap Up; Winter, winter);S1;E11
Winter Wrap Up;'Cause tomorrow spring is here;S1;E11
Winter Wrap Up;'Cause tomorrow spring is here!;S1;E11
Winter Wrap Up;No easy task to clear the ground;S1;E11
Winter Wrap Up;Plant our tiny seeds;S1;E11
Winter Wrap Up;With proper care and sunshine;S1;E11
Winter Wrap Up;Everyone it feeds;S1;E11
Winter Wrap Up;Apples, carrots, celery stalks;S1;E11
Winter Wrap Up;Colorful flowers too;S1;E11
Winter Wrap Up;We must work so very hard;S1;E11
Winter Wrap Up;It's just so much to do!;S1;E11
Winter Wrap Up;Winter Wrap Up! Winter Wrap Up!;S1;E11
Winter Wrap Up;Let's finish our holiday cheer;S1;E11
Winter Wrap Up;Winter Wrap Up! Winter Wrap Up!;S1;E11
Winter Wrap Up;'Cause tomorrow spring is here;S1;E11
Winter Wrap Up;Winter Wrap Up! Winter Wrap Up!;S1;E11
Winter Wrap Up;'Cause tomorrow spring is here;S1;E11
Winter Wrap Up;'Cause tomorrow spring is here!;S1;E11
Winter Wrap Up;Now that I know what they all do;S1;E11
Winter Wrap Up;I have to find my place;S1;E11
Winter Wrap Up;And help with all of my heart;S1;E11
Winter Wrap Up;Tough task ahead I face;S1;E11
Winter Wrap Up;How will I do without my magic;S1;E11
Winter Wrap Up;Help the Earth pony way;S1;E11
Winter Wrap Up;I wanna belong so I must;S1;E11
Winter Wrap Up;Do my best today,;S1;E11
Winter Wrap Up;Do my best today!;S1;E11
Winter Wrap Up;Winter Wrap Up! Winter Wrap Up!;S1;E11
Winter Wrap Up;Let's finish our holiday cheer;S1;E11
Winter Wrap Up;Winter Wrap Up! Winter Wrap Up!;S1;E11
Winter Wrap Up;'Cause tomorrow spring is here;S1;E11
Winter Wrap Up;Winter Wrap Up! Winter Wrap Up!;S1;E11
Winter Wrap Up;'Cause tomorrow spring is here;S1;E11
Winter Wrap Up;'Cause tomorrow spring is here;S1;E11
Winter Wrap Up;'Cause tomorrow spring is here!;S1;E11
Cupcake Song;All you have to do is take a cup of flour!;S1;E12
Cupcake Song;Add it to the mix!;S1;E12
Cupcake Song;Now just take a little something sweet, not sour!;S1;E12
Cupcake Song;A bit of salt, just a pinch!;S1;E12
Cupcake Song;Baking these treats is such a cinch!;S1;E12
Cupcake Song;Add a teaspoon of vanilla!;S1;E12
Cupcake Song;Add a little more, and you count to four,;S1;E12
Cupcake Song;And you never get your fill of...;S1;E12
Cupcake Song;Cupcakes! So sweet and tasty!;S1;E12
Cupcake Song;Cupcakes! Don't be too hasty!;S1;E12
Cupcake Song;Cupcakes! Cupcakes, cupcakes, CUPCAKES!;S1;E12
Art of the Dress;Thread by thread, stitching it together;S1;E14
Art of the Dress;Twilight's dress, cutting out the pattern snip by snip;S1;E14
Art of the Dress;Making sure the fabric folds nicely;S1;E14
Art of the Dress; hip;S1;E14
